Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url
Endorphina,Endorphina,Cold,"GAMBLING 22W29, FOREX 22W29, bet - estudo",47,gambling & casinos,"",http://www.endorphina.com,http://www.linkedin.com/company/endorphina,https://www.facebook.com/endorphinagames/,https://twitter.com/EndorphinaGames,42/14 Kaprova,Prague,Hlavní město Praha,Czech Republic,110 00,"42/14 Kaprova, Prague, Hlavní město Praha, Czech Republic, 110 00","online gambling, online casino slots, online casino games, slots, games development",'+420 222 564 222,Endorphina is the premium slot games provider that offers 95+ exclusively themed casino software solutions worldwide.,"Leadfeeder, LeadForensics, Linkedin Marketing Solutions, Mobile Friendly, Ruby On Rails, Google Maps (Non Paid Users), Google AdSense, Google Maps, Facebook Login (Connect), Google Tag Manager, Facebook Custom Audiences, Google Analytics, Nginx, Google AdWords Conversion, Google Font API, YouTube, reCAPTCHA, Facebook Widget, Olark","","","","","","",62cdb8b3c6db6800a38b2365,7372,"Endorphina, headquartered in Prague, Czech Republic, is a B2B software provider used by some of the most successful operators from the igaming industry. 
Our highly skilled specialists in online gaming are an assurance of success and professional approach for the business partners. 
Endorphina software is known for its diversity. Therefore each game feels unique; rather than the same template being rolled out for each and every title. Our slots are familiar and yet somehow new and exciting at the same time. 
Endorphina software has been tested and certified by iTech Labs and GLI for its reliability and integrity.",2012,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6318ae627733be0001e4ab87/picture
Royal Luxury Casino,Royal Luxury Casino,Cold,"GAMBLING 22W29, FOREX 22W29, bet - estudo",1,gambling & casinos,"","",http://www.linkedin.com/company/royalluxurycasino,"","",Pietarinkatu,Helsinki,Uusimaa,Finland,00140,"Pietarinkatu, Helsinki, Uusimaa, Finland, 00140","casino, games, gaming, gambling, luxury, premium, online games, online casino","","","","","","","","","",62cdb9460b6d7a00cb369fd1,"","Royal Luxury Casino is your best choice when you want to choose the world's best online casinos and to receive hefty bonuses. Our experienced gaming team has carefully handpicked the best casinos for you to enjoy. Online gamblers and gamers should only receive high-end customer experiences, which can be described as luxury and premium. Let us move onwards and continue our casino journey together. Browse a wide list of casinos and choose the best ones, which are best for you. We are here to help with your journey as a prestige customer.

Even if you are a beginner or a professional. Security is always one of the most important values when gamblers are choosing their favorite online casinos. The internet is full of scams and we are here to help to choose the most secure casinos, which are in the marketplace. Our team is well known for its rigorous approaches when it comes to choosing the most secure digital casinos. We always emphasize that you should be extra careful when you decide to play online. Stop playing when you feel that something is not right and begin required measures in order to protect your funds.",2018,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/62f3b51346911f00011c1ab0/picture
CHef Online Casino,CHef Online Casino,Cold,"GAMBLING 22W29, FOREX 22W29, bet - estudo",0,gambling & casinos,"",http://www.chefonlinecasino.ch,http://www.linkedin.com/company/chef-online-casino,"","",69 Dorfstrasse,Windisch,Aargau,Switzerland,5210,"69 Dorfstrasse, Windisch, Aargau, Switzerland, 5210","","",Das beste online Casino Schweiz in 2022. Top Seriöse online Casinos | Online Casinos Schweiz legal | Expertenbewertung der besten Angebote und Bonuses,"Cloudflare DNS, CloudFlare Hosting, Google Font API, WordPress.org, Google Tag Manager, Mobile Friendly","","","","","","",62cdb986ad862e00a304a173,"","CHef Online Casino ist spezialisiert auf das Ranking und die Überprüfung von Casinos Online, die speziell für Spieler aus der Schweiz konzipiert sind. Außerdem stehen Ihnen die besten internationalen Casinos zur Verfügung, die Ihnen den Zugang zu dem umfassendsten Führer im gesamten deutschsprachigen Raum ermöglichen. Dank mehr als 5 Jahren Erfahrung im Online Glücksspiel bietet das CHef Team professionelle Beratung auf der Grundlage umfangreicher Recherchen und Analysen an, um die besten Ratschläge über Online Casinos in der Schweiz zu geben.","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/614f09f3f208f100014bf2bf/picture
adjarabet.com,adjarabet.com,Cold,"GAMBLING 22W30, bet - estudo",580,gambling & casinos,"",http://www.adjarabet.com,http://www.linkedin.com/company/adjarabet,"",https://twitter.com/adjarabetoff,"","",Tbilisi,Georgia,"","Tbilisi, Georgia","bookmakers, online casino, poker, poker tournanments, slots",'+995 322 71 10 10,"","Outlook, Microsoft Office 365, Amazon AWS, Gmail, Google Apps, StatusPage IO, Atlassian Cloud, Zoho SalesIQ","","","","",88174000,"",62d1d4196a698d00a397bd71,7900,"Founded in 1998 and firmly establishing itself as a market leader since then, adjarabet is the most successful, safe and innovative gaming portal in the Caucasus region. Fast payouts, excellent customer service and standard-setting promotions are the few of those factors which made this brand stand out and compete not only on local but international level.

We believe in the need of playing on your ground. 
Every person has their ground, where they find and fulfill themselves, develop and achieve goals.
Your ground is a place, where fun and success are combined.
On your ground, you are confident, cheerful, free, full of motivation and curiosity, which always pushes you forward.
Playing on your ground means to find and do what you love, what is yours.
adjarabet is a ground, which is adjusted to the wishes of the players. We have created the most reliable and comfortable space, which is always focused on innovation.
Find and Play on your ground!",1998,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631bc20ef11b7f00010239f6/picture
Spearhead Studios Asia,Spearhead Studios Asia,Cold,"GAMBLING 22W30, bet - estudo",15,gambling & casinos,"","",http://www.linkedin.com/company/xin-gaming,"","","",Malta,Montana,United States,59538,"Malta, Montana, United States, 59538","online casino, online casino games, online casino slot games, online rng games","","","","","","","","","",62d1d4196a698d00a397bd75,"","Creating premium, mobile-optimised HTML5 casino gaming experiences for a global audience.

We are an experienced, hard-working and super-hungry teams of designers, developers and commercial professionals with an eye on making our mark in iGaming. We have our own in-house RGS and game development frameworks and multiple operator integrations.",2019,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/62a6dca4336ea90001235d75/picture
RNGplay,RNGplay,Cold,"GAMBLING 22W30, bet - estudo",25,gambling & casinos,"",http://www.rngplay.com,http://www.linkedin.com/company/rngplay,"",https://www.twitter.com/gplay_rn,"",Noida,Uttar Pradesh,India,"","Noida, Uttar Pradesh, India","casino game development, slot games, table games, card games, html5 slots, multiplayer games, social casino, land based slots, casual games, soft games, online casino, html5 slots development, graphics, animation, casino math, poker, blackjac, baccarat, roulette, bingo, keno, sicbo","","","Route 53, Gmail, Google Apps, Amazon AWS, Google Analytics, Ubuntu, Mobile Friendly, Bootstrap Framework, Google Font API, Apache","","","","","","",62d1d45529f87a008b5b2658,"","RNGplay is a casino game and software development company that committed to add value to successful suppliers and operators by providing high quality casino content with taste of uniqueness and entertainment.

Our vision is to be one of the pioneer in driving the market with truly world class software solutions and supplying slot game content for global market.

We are building a crazy team of fun loving blocks with true passion for gaming. We love expressing ideas and pushing boundaries to make some great games. We love what we do for us and for the players.",2019,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63235770f662070001c8ff6a/picture
Vbet.am,Vbet.am,Cold,"GAMBLING 22W30, bet - estudo",18,gambling & casinos,"",http://www.vbet.am,http://www.linkedin.com/company/vbetam,"","","",Yerevan,Yerevan,Armenia,"","Yerevan, Yerevan, Armenia","bookmakers, online casino, live casino, skill games, poker, backgammon, belote, virtual sport, betting","","","VueJS, React Redux, Hotjar, AngularJS","","","","","","",62d1d46dc437f500cb189da8,"","Vbet.am-ը Հայաստանում առաջատար բուքմեյքերական ընկերություն է, որն առաջարկում է առցանց խաղային արտադրանքի լայն ընտրանի՝ հատուկ շեշտ դնելով խաղադրույքների վրա:✌️",2008,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63243ae26c85fc00015b85e5/picture
PlaySQR,PlaySQR,Cold,"GAMBLING 22W30, bet - estudo",4,entertainment,"",http://www.playsqr.com,http://www.linkedin.com/company/playsqr,"","","",Cebu City,Central Visayas,Philippines,"","Cebu City, Central Visayas, Philippines","entertainment, igaming, sportsbetting, online casino","","","Cloudflare DNS, Outlook, Microsoft Office 365, CloudFlare Hosting, Zendesk, CloudFlare, Atlassian Cloud, ASP.NET, Mobile Friendly","","","","","","",62d1d46dc437f500cb189daa,"",PlaySQR is about world class gaming entertainment from a passionate team! Explore our sports betting and casino!,"",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6307be6ceea0560001802065/picture
MOHIO Sports GmbH,MOHIO Sports,Cold,"GAMBLING 22W30, bet - estudo",14,entertainment,"",http://www.mohiogaming.com,http://www.linkedin.com/company/mohiosports,https://www.facebook.com/mohiogaming,https://twitter.com/MOHIO_GmbH,4 Schubertstraße,Linz,Upper Austria,Austria,4020,"4 Schubertstraße, Linz, Upper Austria, Austria, 4020","sports betting, casino, lottery, poker, games, betting, bet, virtual games, fast betting solution, keno, color bet, live sport, prematch, gambling, virtual sports, betting software, roulette, terminal, retail bets, jack pot games, combi bets, online bets",'+380977982233,"MOHIO is the Austria based gaming content powerhouse. We provide reliable and certified betting software and games to premier betting operators, bookmakers, lotto, and casinos.","Drupal, StatusPage IO, Mobile Friendly, Google Tag Manager, reCAPTCHA, Google Maps (Non Paid Users), Hotjar, Google Maps, Nginx, Smartsupp, YouTube","","","","",646000,"",62d1d46dc437f500cb189daf,7372,"TOP REVENUE-MAKING PRODUCTS - www.mohiosports.com

MOHIO is an Austrian based premier software development and content provider for the leading betting & gaming industry. 

Our Games are tailored to the market's demand, our clients needs and players will.

PROVEN WINNING SUITE OF GAMES 

FLASH SPORTS BET GAMES  - Soccer Bet - All Major Leagues
NUMBER BET GAMES - Red Keno - Circus Wheels - Western Keno - Darts Bet - Kings Jewels
RACING BET GAMES - Dog & Horse Racing - Street Racer
CARD BET GAMES - Poker Bet Multi & Single Table - Black Jack Bet
LIVE & PRE MATCH SPORTS BETTING - up to 5000 matches every day",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631b918043104b00016eaf05/picture
LionsBet,LionsBet,Cold,"GAMBLING 22W30, bet - estudo",1,entertainment,"",http://www.lionsbet.com,http://www.linkedin.com/company/lionsbet,"","",Muri Okunola St,Lagos,Lagos,Nigeria,"","Muri Okunola St, Lagos, Lagos, Nigeria","sports betting, online casino, poker, games, virtuals","","","GoDaddy Hosting, Google Tag Manager, Mobile Friendly, Apache","","","","","","",62d1d46dc437f500cb189db1,"","Lions Bet is an exciting online gaming and betting brand that offers the largest selection of online virtual games,and sports betting pre and live.

All games are available on multi-platforms, including web, mobiles and tablets. To top it all off, we also offer our players a wide range of bonuses, promotions.

Our friendly and knowledgeable customer service representatives are available 24/7 via live chat, e-mail and by telephone. 

Please gamble responsibly. www.lionsbet.com",2016,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/62a20af1bd766100014580ed/picture
Bet IT Best GmbH,Bet IT Best,Cold,"GAMBLING 22W30, bet - estudo",2,entertainment,"",http://www.betitbest.com,http://www.linkedin.com/company/betitbest,"","",13 Maximilianstraße,Munich,Bavaria,Germany,80539,"13 Maximilianstraße, Munich, Bavaria, Germany, 80539","innovation, research development, software development, creative web designux, b2b trading services, mobile design, native ios, technology, sports betting broker, customer focussed, research amp development, native android",'+49 89 203006 361,"","Nginx, Google Analytics, Facebook Widget, Facebook Custom Audiences, Mobile Friendly, JQuery 1.11.1, Google Play, Google Font API, Facebook Login (Connect)","","","","","","",62d1d47781945100e07ad3ba,"","We developed a Skyscanner for the sports betting industry approach, with one sophisticated additional feature:
The customers just need to register at our page and we will do the clearing and settlement of bets on his behalf with the bookies! 

So our users just need an account at our website to participate from different offerings of bookies linked to our system. 

In addition we are offering a state of the art livescores feature, including native apps for iOS and Android (especially for Android we developed a sophisticated widget for the homescreen), and a unique sports news aggregation service, which covers realtime news of 4.500 different sources (based on local, regional, national, international and twitter sources), which is also available as a native app for iOS and Android. 

=> As a result, we cover the whole value chain of a sports interested person!

Added features for B2C:
•	Customers just need to register once, need to run the know your customer process (kyc) once, just need to put money on one account, just need to deal with one frontend and are able to use all offerings from the bookies linked to our system
•	State of the art apps are generating additional usage for all of our users
•	We offer exactly those bets, a user is interested in, based on his interests and profile

Addedd features for B2B:
•	We solved the problem of users leaving a website as soon as they are finished with placing a bet as we cover the whole information needs (livescores and news) of sports interested people. We created the site stickiness which bookies are desperately looking for!
•	We offer direct and indirect cost cutting for our linked bookies 
•	As a matter of facts we also increase overall revenues as we addresses new target groups due to the sports portal approach – No barriers to explore different Sportsbookies

Focussing on the customer and providing the best technology and services possible, this is what Bet IT Best is all about!",2013,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/62deb8b8642cdc00014ba667/picture
West Hart,West Hart,Cold,"GAMBLING 22W30, bet - estudo",0,gambling & casinos,"",http://www.westhart.ltd,http://www.linkedin.com/company/west-hart,"","",長裕街,"",Kowloon,Hong Kong,"","長裕街, Kowloon, Hong Kong","online gambling, online casino slots, online casino game content integration, online casino games, igaming","","","Cloudflare DNS, CloudFlare Hosting, WordPress.org, Google Tag Manager, Mobile Friendly, Google Font API","","","","","","",62d1d47781945100e07ad3bc,"","We aggregate and redistribute game content for online casinos from the world's best game developers of the iGaming industry. Our games are suitable for various markets of operations and hold necessary licenses and certifications. 

WHY WORK WITH US?

RELIABILITY
We work with trusted and licensed vendors. 

CUSTOMIZATION
We adapt to your business requirements.

COMPETITIVE PRICING 
One of the lowest rates on the market.

CLIENT SUPPORT
Technical and account management.",2018,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/62ed3d186ff31f0001ba8b6b/picture
Excel Affiliates,Excel Affiliates,Cold,"GAMBLING 22W30, bet - estudo",2,gambling & casinos,"",http://www.excelaffiliates.com,http://www.linkedin.com/company/excel-affiliates,https://www.facebook.com/ExcelAffiliate,https://twitter.com/excelaffiliates,"","","","","","","affiliate programme for igaming brands, online casino, mobile casino, bingo, poker","","","Cloudflare DNS, Google Cloud Hosting, WP Engine, Bootstrap Framework, Google Font API, Google Tag Manager, WordPress.org, reCAPTCHA, ASP.NET, Nginx, Mobile Friendly, Microsoft-IIS","","","","",432000,"",62d1d49c4b5e0900a3167c7e,"","Excel Affiliates is a rapidly growing casino affiliate programme created by experienced iGaming affiliate managers with more than 20 yrs of experience between them.

Established with a vision of being the most transparent and high earning affiliate programme, Excel Affiliates is fast creating a name for itself as one of the leading affiliate programmes in the iGaming industry.

We offer some of the top converting brands in all verticals including casino, slots, scratch cards and mobile casino, powered by award winning gaming providers such as Microgaming and Probability.","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631bddf4f1544c000147efe9/picture
Let Me Analyze,Let Me Analyze,Cold,"GAMBLING 22W30, bet - estudo",1,gambling & casinos,"",http://www.letmeanalyze.com,http://www.linkedin.com/company/let-me-analyze,https://www.facebook.com/letmeanalyze,https://twitter.com/letme_analyze,"",Indore,Madhya Pradesh,India,452007,"Indore, Madhya Pradesh, India, 452007","online dating, review management, online casino, gambling, reviews, gaming review, couples blogging, gambling reviews, online gaming, casinos","",Online Gambling SiteLet me analyze and provide the most relevant information with reliable and transparent reviews! Explore India’s best website for your gambling experience!,"YouTube, Google Font API, Mobile Friendly, Google Tag Manager, Disqus, WordPress.org","","","","","","",62d1d4b2872df700cb24335e,"","The ultimate goal of Let Me Analyze is to collect, identify, review, compare, analyze & provide you with the best online gambling experience.",2020,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/621951783f3fc600017b4e13/picture
77Megabet Slot Online Terpercaya,77Megabet Slot Online Terpercaya,Cold,"GAMBLING 22W30, bet - estudo",3,gambling & casinos,"",http://www.233.140,http://www.linkedin.com/company/77megabet,"","","",Makati,Metro Manila,Philippines,1230,"Makati, Metro Manila, Philippines, 1230","sportsbook, mpo slot, joker123, pragmatic slot, slot online, casino, refferal system, slot","","Judi Online 77Megabet adalah situs Taruhan Slot Online dari MPO, judi bola dan Casino, Menang bersama kami di Agen Bola Terpercaya Indonesia","","","","","","","",62d1d4c209960b00e00edee9,"","77Megabet adalah Slot Online MPO dan juga casino online yang telah berdiri sejak 2012. Kami melayani para pecinta taruhan  untuk bermain judi online. Baik Slot, Sportsbook, casino dan Togel.

Slot MPO adalah sebuah platform berbagai jenis game yang bisa di mainkan cukup dengan 1 ID. Dimana di dalamnya terdapat ratusan game slot yang bisa anda mainkan

Company kami berdomisili di Manila Filipina

Link Alternatif 77Megabet : http://188.166.233.140/
Livechat : https://direct.lc.chat/8838971/",2012,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6195eb021dd33f00018910ab/picture
