Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url
Academic Partnerships,Academic Partnerships,Cold,"Consumer Goods, learning - estudo",830,e-learning,wladimir.barros@paylivre.com,http://www.academicpartnerships.com,http://www.linkedin.com/company/academicpartnerships,http://www.facebook.com/AcademicPartnerships,http://www.twitter.com/APartnerships,700 N Pearl St,Dallas,Texas,United States,75201-2800,"700 N Pearl St, Dallas, Texas, United States, 75201-2800","online program management, instructional design, online degree programs, higher education, online higher education, online mba, access to higher education, nontraditional students, elearning, online classes, online education",'+1 214-210-7300,"","Salesforce, Cloudflare DNS, Outlook, Microsoft Office 365, ExactTarget, Adobe Marketing Cloud, Omniture (Adobe), CloudFlare, WP Engine, reCAPTCHA, Mobile Friendly, Gravity Forms, Typekit, AddThis, Tealium, WordPress.org, Wistia","","","","",119900000,"",627d6bf7c6883700011a93a5,"8200, 8200, 8200, 8200","AP helps power a university's online programs. Our partners do what they do best—teach students—while we help by providing support services. In each of AP's relationships with universities, there is a shared commitment to student success. At the same time, there is a clear delineation of roles between AP and the university partner, which corresponds to the core competencies of each.",2007,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631b0e8f9b24bf0001191823/picture
Linda,Linda,Cold,learning - estudo,400,e-learning,"",http://www.lynda.com,http://www.linkedin.com/company/lynda-com,"",http://twitter.com/Compilr,"","","","","","","saas, education, developer tools, collaboration, enterprise software, internet, information technology, software, web development, elearning, software training, creative skills, design skills, web design, video tutorials, 3d software training, business skills, photography training, audio tutorials, cad training",'+1 805-477-3900,"Learn software, creative, and business skills to achieve your personal and professional goals. Join today to get access to thousands of courses.","NSOne, Gmail, Marketo, Google Apps, Microsoft Office 365, Zuora, Bootstrap Framework, ASP.NET, Citrix NetScaler, Mobile Friendly, Google Analytics, AddThis",289000000,Series B,186000000,2015-01-14,260000000,"",62a79ae56111a4000152f586,"8200, 8200","Lynda is an online education company that offers video courses in software, creative and business skills.",1995,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631b7738543c3a0001044738/picture
Free Online Courses,Free Online Courses,Cold,learning - estudo,4900,e-learning,"",http://www.onlinetutorials.org,http://www.linkedin.com/company/onlinetutorials,"","",3751 Katella Avenue,Los Alamitos,California,United States,90720,"3751 Katella Avenue, Los Alamitos, California, United States, 90720","","","Get the latest free online tutorials, online classes, free online courses with certificates to learn new skills and improve your knowledge without paying for it.","Cloudflare DNS, CloudFlare Hosting, BuddyPress, Facebook Custom Audiences, Google Plus, Google Tag Manager, Linkshare, Google Font API, Mobile Friendly, WordPress.org, Google AdSense, Facebook Login (Connect), Facebook Widget","","","","","","",63220b082937d000edf82c29,"","",2016,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6320328e4e780d0001d448af/picture
Interaction Design Foundation (IxDF),Interaction Design Foundation,Cold,learning - estudo,270,e-learning,"",http://www.interaction-design.org,http://www.linkedin.com/company/interaction-design-org-foundation,https://www.facebook.com/interactiondesign.org/,https://twitter.com/interacting,4 Christian Molbechs Vej,Aarhus,Central Denmark Region,Denmark,8000,"4 Christian Molbechs Vej, Aarhus, Central Denmark Region, Denmark, 8000","user experience design, human computer interaction, information technology, a global community of the worlds best designers","","Online UX design courses and literature created by design experts. Don Norman: ""A goldmine of information on interaction design.""","Rackspace MailGun, Gmail, Google Apps, DigitalOcean, Cloudflare DNS, CloudFlare Hosting, VueJS, Digital Ocean DNS, Vercel, Hotjar, Google Font API, Google Tag Manager, Google Analytics Ecommerce Tracking, Nginx, reCAPTCHA, Mobile Friendly","","","","",3606000,"",63220b082937d000edf82c36,8300,"The Interaction Design Foundation (IxDF) is the world's largest online design school since 2002, with over 120,000 graduates today. 

We're market leaders in design education because the world's leading experts create our content—and because we're specialized in design. Our courses cover the entire spectrum of UX design from beginner to advanced learning in UX.

Our online, self-paced design courses: https://www.interaction-design.org/courses

Our full story: https://www.interaction-design.org/about",2002,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63154958e2b86700018e0ed6/picture
EaDTech,EaDTech,Cold,learning - estudo,17,e-learning,"",http://www.eadtech.com.br,http://www.linkedin.com/company/eadtechgov,"","","","","",Brazil,"",Brazil,"","","A EaDTech oferece soluções tecnológicas e uma ampla gama de serviços que apoiam os processos de ensino aprendizagem, quer sejam presenciais, blended (mistos) ou totalmente a distância.","Gmail, Google Apps, Google Cloud Hosting, Varnish, Wix, Mobile Friendly","","","","","","",627a0863fd568b000153bd52,"","Com mais de 17 anos de experiência, a EaDTech é uma empresa focada exclusivamente no atendimento ao Poder Público, Federal, Estadual, Municipal e no Sistema S. Oferecemos soluções tecnológicas e uma ampla gama de serviços que apoiam os processos de ensino aprendizagem, quer sejam presenciais, blended (mistos) ou totalmente a distância.",2002,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6309407a38929e0001c3e36e/picture
The American College of Financial Services,The American College of Financial Services,Cold,"Consumer Goods, learning - estudo",370,e-learning,wladimir.barros@paylivre.com,http://www.theamericancollege.edu,http://www.linkedin.com/company/the-american-college,https://facebook.com/theamericancollege,https://twitter.com/TheAmerCol,630 Allendale Rd,King of Prussia,Pennsylvania,United States,19406,"630 Allendale Rd, King of Prussia, Pennsylvania, United States, 19406","cfp, graduate education, clu in insurance & risk management, professional development & certifications, chsnc, financial literacy, financial planning, financial planning education for cfp & advanced chfc professionals, thought leaders, wealth management, cap, chartered special needs consultant, chartered financial consultant, wmcp, ricp, retirement income certified professional, chartered life underwriter, business succession planning, wealth management certified professional, certified financial planner education, philanthropy planning, estate planning, financial services continuing education, elearning, insurance & risk management, clu, chartered advisor in philathropy, chfc, the highest standards of knowledge & trust, leadership & management, healthcare reform education",'+1 888-263-7265,We offer financial knowledge through high-quality designation and graduate education focused on ethics and helping society through lifelong learning.,"Fastly CDN, Outlook, Drupal, Hubspot, Atlassian Cloud, Netlify, React Redux, ASP.NET, Google Tag Manager, Bootstrap Framework, New Relic, Cvent, Varnish, Mobile Friendly, Nginx","","","","",20000000,"",627d6bd6a12a700001f2457b,"8200, 8200",The American College is a educational institution with the highest level of academic accreditation.,1927,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/624f133fee57730001aca886/picture
TutorMe,TutorMe,Cold,"Consumer Goods, learning - estudo",580,e-learning,wladimir.barros@paylivre.com,http://www.tutorme.com,http://www.linkedin.com/company/tutorme-inc-,https://www.facebook.com/TutorMeHQ/,https://twitter.com/TutorMe_HQ,1925 Century Park East,Los Angeles,California,United States,90067,"1925 Century Park East, Los Angeles, California, United States, 90067","edtech, online education, tutoring, test prep, online tutoring",'+1 323-813-4038,Get homework or study help in over 300 subjects by connecting with a verified online tutor from a top university. Available 24/7!,"Salesforce, Route 53, MailJet, Sendgrid, Gmail, Google Apps, Microsoft Office 365, Zendesk, Amazon AWS, Mixpanel, Lever, Vercel, Thinkific, Mobile Friendly, Nginx","","","","",8100000,"",627d6c0056484b000158fa77,8200,"TutorMe provides 24/7 high-impact online tutoring to students ranging from kindergarten through graduate school. We work with schools and districts across the country to empower students with online tutoring. In just seconds, we connect students with tutors who are highly qualified to provide one-on-one support in 300+ subjects. 

Named one of Built In's 2022 Best Places to Work™ and certified as a Great Place to Work®, TutorMe cultivates an inclusive, people-first work culture. As the explosive demand for virtual learning draws more learners to TutorMe, we're expanding our fully remote team of talented individuals to help us democratize world-class academic support!",2015,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631b00e09fa92d00019aae79/picture
Labster,Labster,Cold,"Consumer Goods, learning - estudo",310,e-learning,wladimir.barros@paylivre.com,http://www.labster.com,http://www.linkedin.com/company/labster,http://www.facebook.com/labster,https://twitter.com/labster,41 Danneskiold-Samsøes Allé,København,"",Denmark,1434,"41 Danneskiold-Samsøes Allé, København, Denmark, 1434","education, educational games, edutainment, vr, virtual laboratories, science education, laboratory simulators","","Bring science class online with Labster's catalog of 250+ virtual lab simulations. We cover biology, chemistry, and other sciences. Get a free demo today!","Salesforce, Route 53, Mailchimp Mandrill, Gmail, Marketo, Google Apps, Microsoft Office 365, Amazon AWS, Google Cloud Hosting, Pardot, VueJS, accessiBe, WP Engine, Netlify, OneTrust, Appcues, Atlassian Cloud, Bizible, YouTube, EventsAir by Centium, WordPress.org, Mobile Friendly, Nginx, Google Font API, Intercom, Google Tag Manager, Google Plus",150592731,Series C,47000000,2022-04-01,5300000,"",627d6c0056484b000158fa8a,7372,"Labster is a fast-moving, award-winning company that focuses on revolutionizing the way science is taught to students all over the world. Virtual labs are simulated learning environments that allow students to complete laboratory experiments online and explore abstract concepts and difficult theories without stepping into a physical science lab. 

Our labs are based on mathematical algorithms supporting open-ended investigations and are combined with gamification elements such as an immersive 3D universe, storytelling and a scoring system that stimulates students' natural curiosity and highlights the connection between science and real-world issues.

Our customers include global leading institutions such as Harvard, MIT, Stanford, Exeter University and ETH Zurich.

Article published by Mads Tvillinggaard Bonde, in Nature Biotechnology (July 2014) supports that using traditional teaching (incl. wet-labs) in combination with virtual labs potentially increases learning outcomes by 101%.",2011,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631b7f15f4311e0001417f53/picture
Toppr,Toppr,Cold,"joao, learning - estudo",2300,e-learning,wladimir.barros@paylivre.com,http://www.toppr.com,http://www.linkedin.com/company/toppr-com,https://www.facebook.com/beingToppr/,https://twitter.com/myToppr/,4th Road,Mumbai,Maharashtra,India,400086,"4th Road, Mumbai, Maharashtra, India, 400086","mobile, education, information technology, engaging learning products, confluence of data science, pedagogy & design, fast career development, gamified learning, adaptive learning",'+1 800-209-9199,"","CloudFlare CDN, Route 53, Gmail, Google Apps, Amazon AWS, CloudFlare Hosting, Segment.io, CloudFlare",116069147,Series D,46774559,2020-07-29,11204000,"",628527edc21bfb0001847845,"8200, 8200","Toppr is India's leading after-school learning app on a mission to make learning personalised. We are an extremely passionate team of engineers, educators and designers making consistent strides in product innovation to enhance user experience. We cater to the individual learning styles of students and provide the widest K12 syllabus coverage with 1 million course combinations. We help students prepare for various school, board, and competitive exams. Abled with artificial intelligence, machine learning, and big data, we study student behaviour and create adaptive learning paths with infinite combinations. This ensures that every student has a unique and personalised learning experience. 

Toppr has won multiple awards since its inception! 
* Top 50 International Education Companies with Impact - Tyton Global Growth 50 - 2018
* Best Education Platform - Indian Education Awards 2018
* Best Educational Website Award - IAMAI Awards 2017 and 2018
* Best in Education Industry - AWS Mobility Awards 2017
* Top 10 Hottest Startups - CB Insights 2015
* Top 20 - EdTechX Global Awards - 2017",2013,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631c07e546ed0300014ffcf5/picture
Coding Ninjas,Coding Ninjas,Cold,"joao, learning - estudo",2200,e-learning,wladimir.barros@paylivre.com,http://www.codingninjas.com,http://www.linkedin.com/company/codingninjas,https://www.facebook.com/codingninjas/,https://twitter.com/CodingNinjasIN,"",New Delhi,Delhi,India,110001,"New Delhi, Delhi, India, 110001","education, tech jobs, data science, machine learning, full stack, web development, c, java, python, online courses, coding ninjas, course certificate, placement cell, interview preparation, interview skills, aptitude course",'+1 800-123-3598,Best Programming Institute in India,"Route 53, SendInBlue, Gmail, Google Apps, Microsoft Office 365, Amazon AWS, Freshdesk, Media Temple SSL, Zoho Email, YouTube, Google Tag Manager, WordPress.org, Mobile Friendly, Google Font API, Taboola, Apache, DoubleClick, Facebook Widget, Google Plus, JivoSite, Facebook Login (Connect), Varnish, Woo Commerce",5210000,Series A,5210000,2020-02-13,2000000,"",628527edc21bfb000184784b,"",Coding Ninjas is an online educational platform that offers computer programming courses for students.,2016,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631badfecd8dc100018d8135/picture
Skillshare,Skillshare,Cold,"Consumer Goods, learning - estudo",680,e-learning,wladimir.barros@paylivre.com,http://www.skillshare.com,http://www.linkedin.com/company/skillshare-com,http://www.facebook.com/skillshare,https://twitter.com/skillshare,35 East 21st Street,New York,New York,United States,10010,"35 East 21st Street, New York, New York, United States, 10010","education, marketplaces, professional networking, information technology, social media, consumer internet, internet",'+1 888-364-6223,"","Postmark, Sendgrid, Gmail, Google Apps, Zendesk, CloudFlare Hosting, Amazon AWS, Mixpanel, Taboola Newsroom, Brightcove, Backbone JS Library, Stripe, Hubspot, Wordpress VIP, Amazon SES, iTunes, Facebook Widget, Google Analytics Ecommerce Tracking, Facebook Login (Connect), Linkedin Marketing Solutions, Google Play, Vimeo, Mobile Friendly, Sift Science, Facebook Custom Audiences, Google Tag Manager, Google Analytics, CrazyEgg, New Relic, Google AdSense",180193523,Private Equity,"",2020-11-01,75000000,"",627d6bde9ac54a0001cd1cf5,8200,Skillshare is an educational technology company that provides E-learning and performance support solutions for individuals and businesses.,2010,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6314f6614e02a60001c3d0ae/picture
"Age of Learning, Inc.",Age of Learning,Cold,"Consumer Goods, learning - estudo",630,e-learning,wladimir.barros@paylivre.com,http://www.ageoflearning.com,http://www.linkedin.com/company/age-of-learning,https://www.facebook.com/AgeOfLearning,https://twitter.com/ageoflearning,101 North Brand Boulevard,Glendale,California,United States,91203,"101 North Brand Boulevard, Glendale, California, United States, 91203","early childhood education, early literacy skills, educational games, original high quality educational content, educational puzzles, educational childrens music, educational art activities, edtech, digital learning, english language learning, adaptive learning, personalized learning, global education, education research, elementary education, middle school, math, early math skills",'+1 818-246-2223,"Age of Learning blends education best practices, innovative technology, and insightful creativity to bring learning to life for children across the U.S. and around the world.","Amazon CloudFront, Route 53, Outlook, Amazon AWS, Hubspot, React, Zendesk, Amazon SES, Appcues, reCAPTCHA, Apache, Bootstrap Framework, WordPress.org, Lever, Mobile Friendly, Google Tag Manager, Google Play, iTunes, Google Font API",481500000,Series C,300000000,2021-06-29,145000000,"",627d6bf7c6883700011a93a2,"8200, 8200","Age of Learning is a leading education technology innovator based in Glendale, California, with a talented team of 500+ individuals comprised of nationally renowned educators, curriculum experts, designers, animators, engineers, and more. We develop engaging, effective digital learning technology and content to help children build a strong foundation for academic success. 

Our flagship product, ABCmouse.com Early Learning Academy, is a comprehensive curriculum and the #1 brand in kids' education. To date, more than 30 million children worldwide have completed over 6.8 billion Learning Activities on ABCmouse. In 2019, Age of Learning launched Adventure Academy, the first massively multiplayer online (MMO) game designed specifically to help elementary- and middle-school-aged children learn. It features thousands of engaging Learning Activities—including games, books, original animated and live action series, and more—in a fun and safe virtual world. And in 2021, we launched My Math Academy, a groundbreaking personalized, adaptive digital learning system (available for schools) that individualizes math instruction for every child through AI-driven technology. Other Age of Learning programs include immersive English language learning products for children in China and Japan and ReadingIQ, a digital library and literacy platform. 
 
We are committed to helping all children succeed. Through the Age of Learning Foundation, we make our research-proven educational products available at no cost to millions of children in need through schools, libraries, Head Start programs, community centers, and other governmental and non-governmental organizations. Our work has served communities on 5 continents and continues to grow today.
 
As we expand our global reach and increase the educational impact of our programs, we're looking for passionate, ambitious, and collaborative leaders to become a part of our growing team.",2007,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631b910eaf0e6000010a4501/picture
